"Reference","Value","Datasheet","Qty"
"C1","0.1uF/50V","~","1"
"C2","22uF/63V","~","1"
"C3,C5","220uF/35V","~","2"
"C4,C6","100uF/63V","~","2"
"Conn1","MotorOutput","https://www.jst-mfg.com/product/pdf/eng/eZH.pdf","1"
"Conn2","Switch 2","https://www.jst-mfg.com/product/pdf/eng/eZH.pdf","1"
"Conn3","Switch 1","https://www.jst-mfg.com/product/pdf/eng/eZH.pdf","1"
"Conn4","TopLights","https://www.jst-mfg.com/product/pdf/eng/eZH.pdf","1"
"Conn5","BottomLights","https://www.jst-mfg.com/product/pdf/eng/eZH.pdf","1"
"Conn6,S1","FlipButton","-- mixed values --","2"
"Conn7","TTL ","https://www.jst-mfg.com/product/pdf/eng/eZH.pdf","1"
"Conn8,S2","CaptureButton","-- mixed values --","2"
"Conn9,S3","Button3","-- mixed values --","2"
"Conn10,S4","Button4","-- mixed values --","2"
"Conn11,S5","Button5","-- mixed values --","2"
"Conn12,S6","Button6","-- mixed values --","2"
"D1,D2","1N5819HW-7-F","~","2"
"J1","Conn_01x01_Pin","~","1"
"J2","Conn_01x04_Pin","~","1"
"J3","RAPC722X","","1"
"J4","Screw_Terminal_01x02","~","1"
"J5","5V","~","1"
"J6","GND","~","1"
"L1,L2","47uH","~","2"
"MOSFET1,MOSFET2","IRFZ44NSTRLPBF","IRFZ44NSTRLPBF","2"
"Q1,Q2","BSS138","","2"
"R1","30k","~","1"
"R2,R3,R4,R7,R8,R9,R10,R11,R12,R13,R14,R15","10k","~","12"
"R5,R6","1M","~","2"
"U1","DRV8871DDA","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fdrv8871","1"
"U2","ESP32-S3-DEVKITC-1U-N8R2","","1"
"U3,U4","LM2576HVS-5","http://www.ti.com/lit/ds/symlink/lm2576.pdf","2"
