Comment,Designator,Footprint,LCSC
100uF/16V,C1,CP_Elec_6.3x5.9,C111600
CaptureButton,"Conn2,Conn4,J7",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,C158012
SPI,J8,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,C161871
Conn_02x07_Odd_Even,J2,IDC-Header_2x07_P2.54mm_Vertical,C17661375
1M,"R10,R13,R30",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4060339
705530002,J3,CONN3_53-0002_MOL,C505296
BSS138,"Q1,Q2,Q3",SOT-323_DIO,C5250986
IRFZ44NSTRLPBF,"MOSFET1,MOSFET2,MOSFET3",DPAK254P1524X483-3N,C58228
BBAI_P8,J11,BBAI-P8,C725895
BBAI_P9,J10,BBAI-P9,C7501604
Jumper_2_Open,JP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,C920781
10k,"R1,R11,R12,R14,R2,R29,R31,R7,R8,R9",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C98220
Steppper motor driver,U2,Pololu_Breakout-16_15.2x20.3mm,
Conn_02x04_Counter_Clockwise,J9,PinSocket_2x04_P2.54mm_Vertical,
GND,J6,PinSocket_2x05_P2.54mm_Vertical,
5V,J5,PinSocket_2x05_P2.54mm_Vertical,
ESP32-S3-DEVKITC-1U-N8R2,U1,XCVR_ESP32-S3-DEVKITC-1-N8R2,
