Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF/16V,CP_Elec_6.3x5.9,246.126,-163.322,0.0,top
Conn2,CaptureButton,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,179.685,-144.31,0.0,top
Conn4,FlipButton,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,196.195,-145.58,0.0,top
J10,BBAI_P9,BBAI-P9,208.28,-135.89,90.0,bottom
J11,BBAI_P8,BBAI-P8,205.74,-184.15,90.0,bottom
J2,Conn_02x07_Odd_Even,IDC-Header_2x07_P2.54mm_Vertical,241.3,-146.05,-90.0,top
J3,705530002,CONN3_53-0002_MOL,255.2491,-155.7009,-90.0,top
J5,5V,PinSocket_2x05_P2.54mm_Vertical,265.97,-135.92,0.0,top
J6,GND,PinSocket_2x05_P2.54mm_Vertical,262.16,-147.27,90.0,top
J7,I2C,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,253.53,-136.037,90.0,top
J8,SPI,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,212.411,-145.8465,0.0,top
J9,Conn_02x04_Counter_Clockwise,PinSocket_2x04_P2.54mm_Vertical,169.926,-146.558,0.0,top
JP1,Jumper_2_Open,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,260.096,-186.436,0.0,top
MOSFET1,IRFZ44NSTRLPBF,DPAK254P1524X483-3N,205.12,-165.1,90.0,bottom
MOSFET2,IRFZ44NSTRLPBF,DPAK254P1524X483-3N,192.73,-165.1,90.0,bottom
MOSFET3,IRFZ44NSTRLPBF,DPAK254P1524X483-3N,180.34,-165.1,90.0,bottom
Q1,BSS138,SOT-323_DIO,229.300001,-165.238,180.0,bottom
Q2,BSS138,SOT-323_DIO,222.696001,-165.238,180.0,bottom
Q3,BSS138,SOT-323_DIO,216.828601,-165.1618,180.0,bottom
R1,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,203.3035,-145.288,270.0,bottom
R10,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,227.706,-169.3585,270.0,bottom
R11,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,230.246,-169.3115,90.0,bottom
R12,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,222.9085,-161.798,180.0,bottom
R13,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,224.028,-169.3145,270.0,bottom
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,221.234,-169.2675,90.0,bottom
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,185.674,-145.9465,270.0,bottom
R29,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,216.916,-161.754,180.0,bottom
R30,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,215.0345,-169.12,270.0,bottom
R31,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,218.186,-169.12,90.0,bottom
R7,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,228.6,-150.7255,270.0,bottom
R8,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,232.41,-150.7255,270.0,bottom
R9,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,229.3335,-161.754,180.0,bottom
