Ref,Val,Package,PosX,PosY,Rot,Side
"MOSFET1","IRFZ44NSTRLPBF","DPAK254P1524X483-3N",205.120000,-165.100000,90.000000,bottom
"MOSFET2","IRFZ44NSTRLPBF","DPAK254P1524X483-3N",192.730000,-165.100000,90.000000,bottom
"MOSFET3","IRFZ44NSTRLPBF","DPAK254P1524X483-3N",180.340000,-165.100000,90.000000,bottom
"Q1","BSS138","SOT95P240X111-3N",229.296000,-165.608000,-90.000000,bottom
"Q2","BSS138","SOT95P240X111-3N",222.824000,-165.564000,-90.000000,bottom
"Q3","BSS138","SOT95P240X111-3N",216.878500,-165.100000,-90.000000,bottom
"R1","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",203.303500,-145.288000,-90.000000,bottom
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",185.674000,-145.946500,-90.000000,bottom
"R7","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",228.600000,-150.725500,-90.000000,bottom
"R8","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",232.410000,-150.725500,-90.000000,bottom
"R9","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",229.333500,-161.754000,0.000000,bottom
"R10","1M","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",227.706000,-169.358500,-90.000000,bottom
"R11","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",230.246000,-169.311500,90.000000,bottom
"R12","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",222.908500,-161.798000,0.000000,bottom
"R13","1M","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",224.028000,-169.314500,-90.000000,bottom
"R14","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",221.234000,-169.267500,90.000000,bottom
"R29","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",216.916000,-161.754000,0.000000,bottom
"R30","1M","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",215.034500,-169.120000,-90.000000,bottom
"R31","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",218.186000,-169.120000,90.000000,bottom
