Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF/16V","CP_Elec_6.3x5.9",246.120000,-165.100000,0.000000,top
"Conn2","CaptureButton","JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical",177.840000,-144.780000,0.000000,top
"Conn4","FlipButton","JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical",195.620000,-144.780000,0.000000,top
"J1","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",170.180000,-138.684000,0.000000,top
"J2","Conn_02x07_Odd_Even","IDC-Header_2x07_P2.54mm_Vertical",248.920000,-144.780000,-90.000000,top
"J3","705530002","CONN3_53-0002_MOL",254.000000,-132.080000,-90.000000,top
"J7","I2C","PinHeader_1x2_P2.5mm_Drill1.1mm",170.434000,-130.556000,-90.000000,top
"J8","SPI","PinHeader_1x4_P2.5mm_Drill1.1mm",245.618000,-137.802000,90.000000,top
"J10","BBAI_P9","PinSocket_2x25_P2.54mm_Vertical",177.800000,-134.500000,90.000000,top
"J11","BBAI_P8","PinSocket_2x23_P2.54mm_Vertical",177.800000,-182.880000,90.000000,top
"U1","ESP32-S3-DEVKITC-1U-N8R2","XCVR_ESP32-S3-DEVKITC-1-N8R2",201.170000,-166.370000,-90.000000,top
"U2","~","Pololu_Breakout-16_15.2x20.3mm",247.650000,-184.140000,90.000000,top
